,model,month,member,ice-free year
13,MPI ESM1,10.0,2,2059
14,MPI ESM1,10.0,11,2059
15,MPI ESM1,10.0,31,2059
16,MPI ESM1,10.0,43,2059
17,MPI ESM1,10.0,76,2059
18,MPI ESM1,10.0,83,2059
19,MPI ESM1,10.0,89,2059
20,MPI ESM1,10.0,8,2060
21,MPI ESM1,10.0,23,2060
22,MPI ESM1,10.0,28,2060
23,MPI ESM1,10.0,65,2060
24,MPI ESM1,10.0,66,2060
25,MPI ESM1,10.0,77,2060
26,MPI ESM1,10.0,97,2060
27,MPI ESM1,10.0,3,2061
28,MPI ESM1,10.0,7,2061
29,MPI ESM1,10.0,10,2061
30,MPI ESM1,10.0,15,2061
31,MPI ESM1,10.0,21,2061
32,MPI ESM1,10.0,34,2061
33,MPI ESM1,10.0,46,2061
34,MPI ESM1,10.0,53,2061
35,MPI ESM1,10.0,71,2061
36,MPI ESM1,10.0,74,2061
37,MPI ESM1,10.0,79,2061
38,MPI ESM1,10.0,84,2061
39,MPI ESM1,10.0,90,2061
40,MPI ESM1,10.0,91,2061
41,MPI ESM1,10.0,94,2061
42,MPI ESM1,10.0,13,2062
43,MPI ESM1,10.0,16,2062
44,MPI ESM1,10.0,17,2062
45,MPI ESM1,10.0,26,2062
46,MPI ESM1,10.0,37,2062
47,MPI ESM1,10.0,45,2062
48,MPI ESM1,10.0,48,2062
49,MPI ESM1,10.0,49,2062
50,MPI ESM1,10.0,50,2062
51,MPI ESM1,10.0,52,2062
52,MPI ESM1,10.0,56,2062
53,MPI ESM1,10.0,59,2062
54,MPI ESM1,10.0,62,2062
55,MPI ESM1,10.0,67,2062
56,MPI ESM1,10.0,68,2062
57,MPI ESM1,10.0,72,2062
58,MPI ESM1,10.0,73,2062
59,MPI ESM1,10.0,78,2062
60,MPI ESM1,10.0,80,2062
61,MPI ESM1,10.0,85,2062
62,MPI ESM1,10.0,95,2062
63,MPI ESM1,10.0,99,2062
64,MPI ESM1,10.0,1,2063
65,MPI ESM1,10.0,22,2063
66,MPI ESM1,10.0,25,2063
67,MPI ESM1,10.0,35,2063
68,MPI ESM1,10.0,42,2063
69,MPI ESM1,10.0,47,2063
70,MPI ESM1,10.0,51,2063
71,MPI ESM1,10.0,54,2063
72,MPI ESM1,10.0,57,2063
73,MPI ESM1,10.0,69,2063
74,MPI ESM1,10.0,88,2063
75,MPI ESM1,10.0,92,2063
76,MPI ESM1,10.0,96,2063
77,MPI ESM1,10.0,32,2064
78,MPI ESM1,10.0,36,2064
79,MPI ESM1,10.0,44,2064
80,MPI ESM1,10.0,55,2064
81,MPI ESM1,10.0,60,2064
82,MPI ESM1,10.0,86,2064
83,MPI ESM1,10.0,98,2064
84,MPI ESM1,10.0,100,2064
85,MPI ESM1,10.0,14,2065
86,MPI ESM1,10.0,19,2065
87,MPI ESM1,10.0,20,2065
88,MPI ESM1,10.0,27,2065
89,MPI ESM1,10.0,30,2065
90,MPI ESM1,10.0,38,2065
91,MPI ESM1,10.0,61,2065
92,MPI ESM1,10.0,70,2065
93,MPI ESM1,10.0,75,2065
94,MPI ESM1,10.0,63,2066
95,MPI ESM1,10.0,9,2067
96,MPI ESM1,10.0,41,2067
97,MPI ESM1,10.0,58,2067
98,MPI ESM1,10.0,81,2067
99,MPI ESM1,10.0,64,2073
0,GFDL ESM2M,8.0,16,2071
1,GFDL ESM2M,8.0,3,2072
2,GFDL ESM2M,8.0,13,2074
3,GFDL ESM2M,8.0,29,2075
4,GFDL ESM2M,8.0,7,2076
5,GFDL ESM2M,8.0,25,2077
6,GFDL ESM2M,8.0,14,2078
7,GFDL ESM2M,8.0,23,2078
8,GFDL ESM2M,8.0,27,2079
9,GFDL ESM2M,8.0,5,2080
10,GFDL ESM2M,8.0,11,2080
11,GFDL ESM2M,8.0,12,2080
12,GFDL ESM2M,8.0,30,2080
13,GFDL ESM2M,8.0,28,2081
14,GFDL ESM2M,8.0,10,2082
15,GFDL ESM2M,8.0,18,2082
16,GFDL ESM2M,8.0,26,2082
17,GFDL ESM2M,8.0,1,2083
18,GFDL ESM2M,8.0,20,2083
19,GFDL ESM2M,8.0,6,2084
20,GFDL ESM2M,8.0,19,2084
21,GFDL ESM2M,8.0,8,2086
22,GFDL ESM2M,8.0,9,2086
23,GFDL ESM2M,8.0,15,2086
24,GFDL ESM2M,8.0,17,2086
25,GFDL ESM2M,8.0,24,2086
26,GFDL ESM2M,8.0,22,2087
27,GFDL ESM2M,8.0,4,2089
28,GFDL ESM2M,8.0,2,2090
29,GFDL ESM2M,8.0,21,2090
0,GFDL ESM2M,9.0,26,2057
1,GFDL ESM2M,9.0,5,2064
2,GFDL ESM2M,9.0,15,2064
3,GFDL ESM2M,9.0,23,2064
4,GFDL ESM2M,9.0,9,2065
5,GFDL ESM2M,9.0,27,2065
6,GFDL ESM2M,9.0,18,2066
7,GFDL ESM2M,9.0,21,2066
8,GFDL ESM2M,9.0,1,2067
9,GFDL ESM2M,9.0,14,2067
10,GFDL ESM2M,9.0,11,2068
11,GFDL ESM2M,9.0,13,2068
12,GFDL ESM2M,9.0,24,2068
13,GFDL ESM2M,9.0,29,2068
14,GFDL ESM2M,9.0,3,2069
15,GFDL ESM2M,9.0,16,2069
16,GFDL ESM2M,9.0,28,2069
17,GFDL ESM2M,9.0,10,2070
18,GFDL ESM2M,9.0,17,2070
19,GFDL ESM2M,9.0,20,2070
20,GFDL ESM2M,9.0,25,2070
21,GFDL ESM2M,9.0,30,2071
22,GFDL ESM2M,9.0,8,2073
23,GFDL ESM2M,9.0,6,2074
24,GFDL ESM2M,9.0,7,2074
25,GFDL ESM2M,9.0,2,2075
26,GFDL ESM2M,9.0,4,2076
27,GFDL ESM2M,9.0,12,2076
28,GFDL ESM2M,9.0,22,2077
29,GFDL ESM2M,9.0,19,2079
0,GFDL ESM2M,10.0,2,0
1,GFDL ESM2M,10.0,3,0
2,GFDL ESM2M,10.0,4,0
3,GFDL ESM2M,10.0,5,0
4,GFDL ESM2M,10.0,6,0
5,GFDL ESM2M,10.0,7,0
6,GFDL ESM2M,10.0,8,0
7,GFDL ESM2M,10.0,9,0
8,GFDL ESM2M,10.0,11,0
9,GFDL ESM2M,10.0,12,0
10,GFDL ESM2M,10.0,13,0
11,GFDL ESM2M,10.0,14,0
12,GFDL ESM2M,10.0,15,0
13,GFDL ESM2M,10.0,16,0
14,GFDL ESM2M,10.0,17,0
15,GFDL ESM2M,10.0,18,0
16,GFDL ESM2M,10.0,19,0
17,GFDL ESM2M,10.0,20,0
18,GFDL ESM2M,10.0,21,0
19,GFDL ESM2M,10.0,22,0
20,GFDL ESM2M,10.0,24,0
21,GFDL ESM2M,10.0,25,0
22,GFDL ESM2M,10.0,26,0
23,GFDL ESM2M,10.0,27,0
24,GFDL ESM2M,10.0,28,0
25,GFDL ESM2M,10.0,29,0
26,GFDL ESM2M,10.0,30,0
27,GFDL ESM2M,10.0,23,2092
28,GFDL ESM2M,10.0,1,2097
29,GFDL ESM2M,10.0,10,2100
